Country,GCI,GII,GDP,HCI,NRR,WGI
Kenya,0.5596737772148692,0.4651457541191381,0.0009763086385442,0.3807106598984772,0.0596593936428815,0.3185833631280276
Kuwait,0.5754890017143125,0.5196451204055766,0.0014279660126852,0.4788494077834179,0.726374348957368,0.5850905639344179
Lebanon,0.545863796684782,0.4575411913814955,0.0006672806074818,0.4145516074450086,2.5148510914956288e-05,0.264945939613004
Luxembourg,0.9652578741437504,0.8377693282636247,0.0008118147156579,0.6751269035532995,0.0002202648060594,0.884894233796147
Madagascar,0.3162008169039285,0.4182509505703422,0.000154162355935,0.1370558375634518,0.1968903147011516,0.5362869255012246
Mali,0.4326657317124799,0.3434727503168567,0.0001825928515176,0.0406091370558376,0.2017844111668786,0.2655281018478441
Mauritius,0.6831550820815143,0.8174904942965779,0.0001638968014718,0.5634517766497462,0.0006030946666961,0.801859636778642
Mexico,0.5020736095309123,0.5640050697084917,0.0145217531552134,0.5313028764805415,0.0443267476553079,0.4665714313478259
Mongolia,0.4403120158252794,0.6185044359949302,0.0001454499818509,0.5634517766497462,0.2255566835851953,0.7584084368877904
Montenegro,0.4625741903913512,0.6742712294043093,5.660550146598362e-05,0.544839255499154,0.0187919919798964,0.6518668367038599
Netherlands,0.9366381188019404,0.9505703422053232,0.0102368375667184,0.8578680203045688,0.0056324707110017,0.7808576274818168
Nicaragua,0.3299349562312594,0.4537389100126742,0.0001729316792719,0.4027072758037226,0.0698619588424609,0.577086275322154
Norway,0.9343082814469388,0.9619771863117872,0.0048429907122425,0.8087986463620982,0.0867873583529623,0.8393121106022073
Oman,0.7847252916752409,0.697084917617237,0.0009804032030158,0.55668358714044,0.4051706242275792,0.7506399464383325
Pakistan,0.3790638134876004,0.2674271229404309,0.0040944849952552,0.1624365482233503,0.0216602184650717,0.0887351925760324
Panama,0.6735321442440148,0.5525982256020279,0.0007555502086243,0.4043993231810491,0.0029346016892534,0.678972554149422
Peru,0.4867037810376809,0.5627376425855513,0.0025050465257819,0.4957698815566835,0.0988654445026496,0.5539968353862603
Poland,0.5336108111222829,0.7515842839036755,0.006136510143622,0.7681895093062606,0.0454714045355832,0.6985670227368078
Portugal,0.5863708710192668,0.7997465145754118,0.0026947374700364,0.8172588832487311,0.0035490758204181,0.7935248697019137
Qatar,0.8495685386823093,0.7477820025348542,0.001980604989484,0.544839255499154,0.3586889258530819,0.7782274824388766
Rwanda,0.8377164435928685,0.6020278833967047,0.0001129895583289,0.1370558375634518,0.1346273086032117,0.5830335934583214
Senegal,0.5218463406564543,0.4790874524714828,0.0002480634830597,0.2115059221658206,0.0893133496096642,0.5502968075240307
Serbia,0.3189402069534071,0.6299112801013942,0.0005307755591416,0.7817258883248732,0.0262887912338561,0.6240582637334442
Slovenia,0.5582735056056456,0.8212927756653992,0.0005839700769301,0.8375634517766499,0.00585774386876,0.7977374072842873
South Africa,0.7817490687206606,0.6730038022813687,0.0042244728653713,0.1912013536379019,0.0799308195445889,0.5660803794364261
Spain,0.6208621892887514,0.7515842839036755,0.0161058327402546,0.7614213197969544,0.0009354516747002,0.6792778258384716
Sweden,0.9653398014479692,0.9163498098859316,0.0067322964123739,0.8578680203045688,0.016209373439054,0.8021807634789431
Switzerland,1.0,0.94169835234474,0.0089812233273213,0.802030456852792,0.0002302218449564,0.8615354391872385
Tajikistan,0.579339111371565,0.3878326996197718,9.075557589781387e-05,0.4060913705583757,0.0854443941883793,0.4364086523348137
Tunisia,0.593216169919404,0.5361216730038022,0.0005786604961821,0.3637901861252116,0.0490379467060536,0.3626743931912088
Uganda,0.5344658944410863,0.4778200253485424,0.0003807693618635,0.1505922165820643,0.2857882402941832,0.4492092333025682
United Arab Emirates,0.8451001119217068,0.8225602027883396,0.0048207780727795,0.6192893401015229,0.2649572638935161,0.7095497296741995
United Kingdom,0.9563990398720608,0.9074778200253484,0.0351107919015463,0.8257191201353639,0.0061221090777871,0.6681322179923422
Uruguay,0.7272618447909213,0.6717363751584283,0.0007499760758322,0.5194585448392555,0.0390847404627196,0.8119830645226614
